category,player,role,metric,value,as_of_or_period,financial_model_use,source
solar,First Solar,module OEM,volume sold guidance,"18-20 GW",2025 guidance,supply availability and volume planning,https://www.businesswire.com/news/home/20250225031936/en/First-Solar-Inc.-Announces-Fourth-Quarter-and-Full-Year-2024-Financial-Results-and-2025-Guidance
solar,First Solar,module OEM,net bookings,"4.4 GW at 30.5 c/W",FY2024,demand certainty and ASP benchmark,https://www.businesswire.com/news/home/20250225031936/en/First-Solar-Inc.-Announces-Fourth-Quarter-and-Full-Year-2024-Financial-Results-and-2025-Guidance
solar,Trina Solar,module OEM,module shipments,65.21 GW,FY2023,supplier scale benchmark,https://www.trinasolar.com/us/resources/newsroom/2023-annual-report/
solar+storage,Canadian Solar/e-STORAGE,module+storage OEM,module shipments,31.1 GW,FY2024,supplier scale benchmark,https://www.sec.gov/Archives/edgar/data/1375877/000141057825001046/csiq-20241231x20f.htm
solar+storage,Canadian Solar/e-STORAGE,module+storage OEM,battery shipped volume,6.6 GWh,FY2024,storage throughput benchmark,https://www.sec.gov/Archives/edgar/data/1375877/000141057825001046/csiq-20241231x20f.htm
solar+storage,Canadian Solar/e-STORAGE,module+storage OEM,BESS manufacturing capacity,"20.0 GWh -> target 30.0 GWh",Dec-2024 to Dec-2025 target,supply ramp assumptions,https://www.sec.gov/Archives/edgar/data/1375877/000141057825001046/csiq-20241231x20f.htm
bess,Tesla Energy,storage OEM,storage deployments,46.7 GWh,FY2025,delivery capacity benchmark,https://ir.tesla.com/press-release/tesla-fourth-quarter-2025-production-deliveries-deployments
bess,Tesla Energy,storage OEM,megafactory capacity,"10,000 Megapacks/year (~40 GWh)",current stated,manufacturing scale baseline,https://www.tesla.com/megafactory
bess,Fluence,storage integrator,deployed storage,16.7 GWh,Jun-30-2025,deployment maturity benchmark,https://ir.fluenceenergy.com/news-releases/news-release-details/fluence-energy-inc-reports-third-quarter-2025-results-reaffirms/
bess,Fluence,storage integrator,contracted backlog,8.2 GW,Jun-30-2025,queue depth and schedule risk,https://ir.fluenceenergy.com/news-releases/news-release-details/fluence-energy-inc-reports-third-quarter-2025-results-reaffirms/
bess,Fluence,storage integrator,pipeline,114.3 GWh,Jun-30-2025,market depth and competition for slots,https://ir.fluenceenergy.com/news-releases/news-release-details/fluence-energy-inc-reports-third-quarter-2025-results-reaffirms/
turbine,Siemens Energy,gas turbine OEM,gas turbines booked,"102 units / 13 GW",Q1 FY2026,lead-time proxy via order surge,https://p3.aprimocdn.net/siemensenergy/d5e24758-5d19-44f7-b57d-b3ee0057e335/2026-02-11_Q1_Analyst_presentation-pdf_Original%20file.pdf
turbine,Siemens Energy,gas turbine OEM,total commitments,"80 GW (22 GW data-center related)",Q1 FY2026,lead-time and reservation pressure proxy,https://p3.aprimocdn.net/siemensenergy/d5e24758-5d19-44f7-b57d-b3ee0057e335/2026-02-11_Q1_Analyst_presentation-pdf_Original%20file.pdf
turbine,Siemens Energy,gas turbine OEM,gas services backlog,EUR 60bn,Q1 FY2026,queue tightness and conversion risk,https://p3.aprimocdn.net/siemensenergy/f8b7f2d2-e4f2-4fe5-8295-b3ee005765a4/2026-02-11_Earnings-Release-Q1-FY26-pdf_Original%20file.pdf
turbine,GE Vernova,gas turbine OEM,installed base,">7,000 gas turbines",2025 annual letter,services/LTSA competitiveness baseline,https://www.gevernova.com/investors/annual-report/ceo-letter
turbine,GE Vernova,multi-technology OEM,services backlog,USD 86bn,2025 annual letter,service cost and availability assumptions,https://www.gevernova.com/investors/annual-report/ceo-letter
turbine,Mitsubishi Power,gas turbine OEM,global market share,36%,2023,supplier concentration indicator,https://power.mhi.com/news/240315.html
sofc,Bloom Energy,SOFC OEM,data center capacity under collaboration,">100 MW",Feb-2025,bankable BTM deployment reference,https://investor.bloomenergy.com/press-releases/press-release-details/2025/Bloom-Energy-Expands-Data-Center-Power-Agreement-with-Equinix-Surpassing-100MW/default.aspx
sofc,Bloom Energy,SOFC OEM,operational+under construction,"~75 MW operational + 30 MW under construction",Feb-2025,execution cadence proxy,https://investor.bloomenergy.com/press-releases/press-release-details/2025/Bloom-Energy-Expands-Data-Center-Power-Agreement-with-Equinix-Surpassing-100MW/default.aspx
sofc,FuelCell Energy,fuel-cell OEM,total backlog,USD 1.19bn,Oct-31-2025,revenue visibility and supplier stability,https://investor.fce.com/press-releases/press-release-details/2025/FuelCell-Energy-Ends-FY2025-with-Revenue-Growth-and-a-Focus-on-Data-Center-Opportunities/default.aspx
sofc,FuelCell Energy,fuel-cell OEM,project contract,"7.4 MW / 20-year PPA / ~USD 167.4m",FY2025 disclosure,long-tenor cash flow template,https://investor.fce.com/press-releases/press-release-details/2025/FuelCell-Energy-Ends-FY2025-with-Revenue-Growth-and-a-Focus-on-Data-Center-Opportunities/default.aspx
soec,Topsoe,SOEC OEM,stack manufacturing capacity,500 MW/year,2025 facility inauguration,SOEC supply maturity proxy,https://www.topsoe.com/news/topsoe-inaugurates-europes-largest-soec-manufacturing-facility
soec,Topsoe,SOEC OEM,facility scale,"23,000 m2",2025 facility inauguration,industrialization readiness proxy,https://www.topsoe.com/news/topsoe-inaugurates-europes-largest-soec-manufacturing-facility
soec,Topsoe,SOEC OEM,efficiency claim,"~20% higher (up to 30% with steam integration)",2025 facility inauguration,hydrogen LCOH sensitivity,https://www.topsoe.com/news/topsoe-inaugurates-europes-largest-soec-manufacturing-facility
epc,Quanta Services,grid/EPC integrator,backlog,USD 44.0bn,FY2025,site+BOP schedule and labor competition,https://investors.quantaservices.com/news-events/press-releases/detail/390/quanta-services-reports-fourth-quarter-and-full-year-2025-results
epc,Primoris,utility+energy EPC,backlog,"USD 11.5bn (USD 6.0bn utilities + USD 5.5bn energy)",Jun-30-2025,EPC market depth and schedule pressure,https://ir.prim.com/news-and-events/news-releases/2025/08-04-2025-211559739
epc,Mortenson,storage EPC,project reference,"620 MW / 2,480 MWh (+60 MW / 240 MWh phase)",2024-2025,utility-scale storage EPC complexity benchmark,https://www.mortenson.com/news-insights/decommissioned-gas-plant-energy-storage-facility
